"PC","Positive_Genes","Negative_Genes"
"PC_1","TRAC","FCN1"
"PC_1","CCL5","CYBB"
"PC_1","TRBC2","SERPINA1"
"PC_1","NKG7","MNDA"
"PC_1","GZMA","IFI30"
"PC_1","CTSW","MPEG1"
"PC_1","LTB","CST3"
"PC_1","IL7R","CPVL"
"PC_1","CST7","CLEC7A"
"PC_1","GZMH","CD14"
"PC_1","CD8B","LYZ"
"PC_1","KLRK1","VCAN"
"PC_1","KLRD1","SPI1"
"PC_1","CMC1","CD68"
"PC_1","C12orf75","NCF2"
"PC_1","HOPX","MS4A6A"
"PC_1","CD7","CSTA"
"PC_1","KLRG1","FCER1G"
"PC_1","TRGC2","PLBD1"
"PC_1","GZMK","S100A9"
"PC_2","JUND","GZMH"
"PC_2","JUN","NKG7"
"PC_2","KLF2","CCL5"
"PC_2","ZFP36L2","FGFBP2"
"PC_2","CD69","HLA.DRB1"
"PC_2","DNAJB1","FCGR3A"
"PC_2","IL7R","KLRD1"
"PC_2","H1FX","TYROBP"
"PC_2","TSC22D3","CD160"
"PC_2","CXCR4","CMC1"
"PC_2","STK17B","FGR"
"PC_2","BTG1","GZMA"
"PC_2","TPT1","HLA.DPB1"
"PC_2","JUNB","SERPINA1"
"PC_2","FOS","LYZ"
"PC_2","DUSP1","GZMB"
"PC_2","TCF7","CSTA"
"PC_2","ARL4C","GNLY"
"PC_2","BTG2","FCN1"
"PC_2","TNFAIP3","HLA.DPA1"
"PC_3","NKG7","LTB"
"PC_3","CST7","SERINC5"
"PC_3","CCL5","RCAN3"
"PC_3","GZMA","CCR7"
"PC_3","GZMH","LEF1"
"PC_3","CTSW","TSHZ2"
"PC_3","KLRD1","MAL"
"PC_3","PRF1","MAML2"
"PC_3","GZMB","IL6ST"
"PC_3","GNLY","IL7R"
"PC_3","FGFBP2","PRKCA"
"PC_3","CCL4","FHIT"
"PC_3","TRGC2","TRABD2A"
"PC_3","PLEK","ACTN1"
"PC_3","KLRK1","TXK"
"PC_3","EFHD2","FOXP1"
"PC_3","HOPX","BEX3"
"PC_3","PFN1","BCL2"
"PC_3","C12orf75","AIF1"
"PC_3","CMC1","SELL"
"PC_4","SYNE2","ACTB"
"PC_4","AHNAK","EEF1A1"
"PC_4","UTRN","PFN1"
"PC_4","HIST1H1E","FXYD5"
"PC_4","VPS13C","LDHB"
"PC_4","SYNE1","FTH1"
"PC_4","ATF7IP","IFITM1"
"PC_4","HIST1H1D","FTL"
"PC_4","GBP5","GAPDH"
"PC_4","KIAA1109","ACTG1"
"PC_4","NIN","TRAC"
"PC_4","SLFN5","EIF3E"
"PC_4","TRIP12","EIF3L"
"PC_4","PIK3R1","GABARAP"
"PC_4","MYBL1","NOSIP"
"PC_4","GOLGB1","CD7"
"PC_4","SETX","HSPB1"
"PC_4","CEP350","GYPC"
"PC_4","SETD2","TRBC2"
"PC_4","ITGA4","S100A6"
"PC_5","S100A11","HSPA1B"
"PC_5","LTB","HSPA1A"
"PC_5","CRIP1","NR4A1"
"PC_5","PLP2","EGR1"
"PC_5","LDHB","RHOB"
"PC_5","TRAC","DUSP2"
"PC_5","S100A10","DUSP1"
"PC_5","S100A4","DNAJB1"
"PC_5","S100A6","ZFP36"
"PC_5","VIM","HSPA6"
"PC_5","TNFSF10","MTRNR2L12"
"PC_5","NAP1L1","JUN"
"PC_5","CAPG","DNAJB4"
"PC_5","ITGB1","PMAIP1"
"PC_5","SIT1","CD69"
"PC_5","TRAT1","FOS"
"PC_5","EEF1A1","CSRNP1"
"PC_5","RNASET2","NR4A2"
"PC_5","CISH","RGS2"
"PC_5","TNFRSF4","IER3"
"PC_6","S100A12","CD79A"
"PC_6","ANXA1","MS4A1"
"PC_6","CYP1B1","TNFRSF13C"
"PC_6","S100A4","BCL11A"
"PC_6","VCAN","HLA.DQA1"
"PC_6","RBP7","AFF3"
"PC_6","S100A8","CD40"
"PC_6","CD14","RALGPS2"
"PC_6","TRAC","HLA.DRA"
"PC_6","CLEC4E","CD79B"
"PC_6","IL7R","SWAP70"
"PC_6","CD163","HLA.DQB1"
"PC_6","CD93","MEF2C"
"PC_6","BST1","BTK"
"PC_6","FPR1","IRF8"
"PC_6","MGST1","FGD2"
"PC_6","PLBD1","HLA.DRB1"
"PC_6","CSF3R","GAPT"
"PC_6","S100A11","HLA.DPA1"
"PC_6","CDA","HLA.DMA"
"PC_7","FHIT","S100A4"
"PC_7","ACTN1","GZMK"
"PC_7","LEF1","HSPA1A"
"PC_7","NOG","HSPA1B"
"PC_7","LRRN3","ANXA1"
"PC_7","TMIGD2","LMNA"
"PC_7","GZMB","S100A11"
"PC_7","LRRC75A","TNF"
"PC_7","FGFBP2","ANXA2"
"PC_7","TXK","S100A10"
"PC_7","FCGR3A","CAPG"
"PC_7","CCR7","PLP2"
"PC_7","CITED4","CRIP1"
"PC_7","CX3CR1","TNFRSF4"
"PC_7","PLAC8","LGALS3"
"PC_7","SATB1","CD74"
"PC_7","PDK1","KLF6"
"PC_7","AK5","PHLDA1"
"PC_7","CHI3L2","BIRC3"
"PC_7","NUCB2","PMAIP1"
"PC_8","MS4A1","FCGR3A"
"PC_8","S100A12","TCF7L2"
"PC_8","CD79A","MS4A7"
"PC_8","GZMK","HMOX1"
"PC_8","CD8B","LRRC25"
"PC_8","CMC1","CSF1R"
"PC_8","BASP1","CAMK1"
"PC_8","TFEC","MAFB"
"PC_8","RBP7","ADGRE2"
"PC_8","MGST1","IFITM3"
"PC_8","VCAN","CALML4"
"PC_8","CD163","LILRB2"
"PC_8","TNFRSF13C","ITGB1"
"PC_8","NCF1","CXCL16"
"PC_8","CYP1B1","CX3CR1"
"PC_8","CLEC4E","C3AR1"
"PC_8","CD93","LILRB1"
"PC_8","HLA.DMA","MTSS1"
"PC_8","CD8A","TIMP1"
"PC_8","YBX3","LGALS1"
"PC_9","GZMB","GZMK"
"PC_9","FGFBP2","CMC1"
"PC_9","SPON2","CD8B"
"PC_9","PRSS23","DUSP2"
"PC_9","ASCL2","CD8A"
"PC_9","LGALS1","PECAM1"
