"","mean","variance","variance.expected","variance.standardized","gene","rank","features","num_cells_expressed"
"S100A9",4.83607670117088,1207.65608453722,33.6618248633222,33.1624311869871,"S100A9",1,"No",652
"S100A8",2.12014254199898,257.540553136501,7.93612508491297,27.8437059291479,"S100A8",2,"No",457
"LYZ",3.76938740879009,553.616360741442,21.571575803114,25.3208208265845,"LYZ",3,"No",578
"VCAN",0.835058544035296,36.6645751705368,1.72557697169902,20.4214348641476,"VCAN",4,"No",285
"HLA.DRA",1.37315459019175,67.5822187807481,3.83418320735099,15.8856612882689,"HLA.DRA",5,"No",894
"CST3",0.913965722043102,52.7161202683429,1.98613709247558,14.7038185038125,"CST3",6,"No",425
"FCN1",0.703376887833022,18.7042604887868,1.32979154030191,14.0655583389711,"FCN1",7,"No",289
"HSPA1A",0.872390972340064,29.0716289903599,1.84664305436314,13.9564345011262,"HSPA1A",8,"No",809
"HSPA6",0.153741727473273,2.55986252459423,0.190215251816098,12.659248586183,"HSPA6",9,"No",165
"S100A12",0.257424062446971,4.58290694115206,0.345602189129084,12.3887065562384,"S100A12",10,"No",180
"HSPA1B",0.527575089088749,10.7777951541112,0.873617950411051,11.8844525044171,"HSPA1B",11,"No",365
"MNDA",0.428813846937044,7.28842284602683,0.655704125977742,11.1154140370229,"MNDA",12,"No",299
"IFI30",0.422195825555744,6.67881479735525,0.642452077267689,10.3958178884873,"IFI30",13,"No",356
"CTSS",1.68861360936705,50.3193492826178,5.40448806246423,9.31065971485838,"CTSS",14,"No",2199
"AIF1",0.64517223824877,10.8654200865883,1.17014369132268,9.28554344834915,"AIF1",15,"No",742
"LST1",0.45460716103852,6.1332497310893,0.709034241336008,8.65014603460131,"LST1",16,"No",690
"HLA.DRB1",0.950789071780078,17.9948623270226,2.11383124908871,8.3941783342402,"HLA.DRB1",17,"No",1557
"FCER1G",0.358561004581707,4.35800417469769,0.52074839058112,8.36873287276886,"FCER1G",18,"No",323
"PTGDS",0.0848464279653827,2.22124521147613,0.101558360521317,7.61936479658404,"PTGDS",19,"No",169
"FGL2",0.377396911590022,4.09481827369714,0.556027295239662,7.36441953255587,"FGL2",20,"No",514
"CYBB",0.255896826743594,2.50748601243562,0.343162848293107,7.30698566266093,"CYBB",21,"No",254
"CD14",0.204479891396572,1.88163641053414,0.264703935004454,7.10845651199886,"CD14",22,"No",210
"HLA.DPA1",1.05056847106737,18.4417736924003,2.47941001329338,7.01624839989469,"HLA.DPA1",23,"No",2241
"APOBEC3A",0.0760223994569829,0.795305832492069,0.0902381597079462,6.96506484684719,"APOBEC3A",24,"No",131
"TYMP",0.493297132190735,5.46622288471179,0.794135341684331,6.88323840759708,"TYMP",25,"No",908
"TYROBP",0.67639572374003,8.2650859886579,1.25463142533395,6.58766058442847,"TYROBP",26,"No",693
"CPVL",0.15085694892245,1.56023220848743,0.186476993043941,6.52819131753994,"CPVL",27,"No",202
"IFITM3",0.144917698964874,1.15991858198982,0.178727328569811,6.48987813599395,"IFITM3",28,"No",300
"MS4A6A",0.17071101306635,1.3842947591404,0.2137150268004,6.47729258847705,"MS4A6A",29,"No",224
"FCGR3A",0.365348718818938,3.43319827026183,0.533415468208014,6.43625555478455,"FCGR3A",30,"No",792
"SERPINA1",0.187510605803496,1.47213183648797,0.238760423995609,6.16572802080066,"SERPINA1",31,"No",219
"MS4A7",0.100288477855082,0.736885524369934,0.121241560838551,6.07782941157603,"MS4A7",32,"No",166
"LGALS2",0.0912947564907517,0.632872271046839,0.109759827798154,5.76597361477897,"LGALS2",33,"No",134
"S100B",0.0727982351942983,0.492832579277265,0.0860718655745554,5.72582662159651,"S100B",34,"No",161
"EGR1",0.117936534871882,0.822986101198924,0.143970573509171,5.71634939793095,"EGR1",35,"No",240
"PSAP",0.799592737145766,9.20439901944479,1.61421192680012,5.70210073821651,"PSAP",36,"No",1623
"CD74",1.98778211437298,41.1427563326931,7.11301008160016,5.69147416610513,"CD74",37,"No",3004
"MS4A1",0.113354827761751,0.967121346750707,0.137907945375998,5.53336974202134,"MS4A1",38,"No",292
"CFD",0.207025284235534,1.46867433014812,0.268577582487085,5.46834295158917,"CFD",39,"No",399
"CCL3",0.109791277787205,1.14425747509702,0.133331684791178,5.46238018143716,"CCL3",40,"No",289
"CD36",0.121160699134566,0.799981544605893,0.148246144229506,5.39630591246548,"CD36",41,"No",182
"PLBD1",0.105888342100798,0.781725335120349,0.128379230212171,5.3860670014389,"PLBD1",42,"No",180
"FOS",2.59782793144409,58.5673544123423,11.2454657924223,5.20808612941646,"FOS",43,"No",2393
"MARCKS",0.122857627693874,0.770714711057305,0.150470340580556,5.12203739344031,"MARCKS",44,"No",206
"CD79A",0.0641438995418293,0.382171351998165,0.0748005017451812,5.10920840210521,"CD79A",45,"No",118
"MPEG1",0.164262684540981,1.04429628672171,0.204396250216541,5.10917536704009,"MPEG1",46,"No",226
"CEBPD",0.222467334125233,1.48800837151422,0.292225888512596,5.09197997168583,"CEBPD",47,"No",406
"HLA.DQB1",0.345664347530969,2.48283803870999,0.496905282737609,4.99660221970523,"HLA.DQB1",48,"No",877
"NAMPT",0.287629390802647,1.97139650077894,0.394618107994361,4.995707142783,"NAMPT",49,"No",688
"NCF2",0.174953334464619,1.0710494080392,0.219950840886967,4.86949449122413,"NCF2",50,"No",273
"HLA.DQA1",0.168335313083319,1.01103383730844,0.210246761928706,4.80879623559332,"HLA.DQA1",51,"No",440
"HLA.DPB1",1.2333276769048,15.3557661989568,3.21536985198882,4.77573868818197,"HLA.DPB1",52,"No",2707
"IFI27",0.0502290853555065,0.350158212955664,0.0582834534504884,4.73319155119406,"IFI27",53,"No",105
"IRF8",0.052774478194468,0.331735766680501,0.0613014238630989,4.54770912662317,"IRF8",54,"No",177
"SOX4",0.0497200067877142,0.336122206043992,0.0576835609064821,4.52860250327239,"SOX4",55,"No",123
"DNAJB1",1.11318513490582,12.24024194077,2.72218339757992,4.49647953611503,"DNAJB1",56,"No",2155
"TNF",0.0867130493806211,0.457347188011966,0.103950359661993,4.39966912571619,"TNF",57,"No",234
"CLEC7A",0.123536399117597,0.663622793863268,0.151362314620117,4.38433301927764,"CLEC7A",58,"No",202
"IFIT2",0.0916341422026133,0.476666253090731,0.110188168169503,4.32592955313926,"IFIT2",59,"No",290
"CSTA",0.12421517054132,0.655307959124873,0.152256037102198,4.30398670290503,"CSTA",60,"No",210
"APLP2",0.34600373324283,2.13569219075319,0.497528685576089,4.2926011156126,"APLP2",61,"No",843
"TRDC",0.559816731715595,4.04788944366434,0.951510932590021,4.25417018871865,"TRDC",62,"No",690
"MAFB",0.0683862209400984,0.341045545309087,0.0801680067626259,4.2541352726769,"MAFB",63,"No",136
"IGSF6",0.122518241982013,0.622800717801934,0.150025102562562,4.15131006187593,"IGSF6",64,"No",247
"SPI1",0.114882063465128,0.58031650424883,0.139912508919093,4.14770994196384,"SPI1",65,"No",209
"CD68",0.122348549126082,0.621314782090986,0.149802687244069,4.14755431642355,"CD68",66,"No",227
"LRRK2",0.0829798065501442,0.399935993651898,0.0991740723021502,4.03266684898676,"LRRK2",67,"No",177
"CYP1B1",0.0481927710843374,0.224425195691115,0.0558871246739226,4.0156869225343,"CYP1B1",68,"No",113
"DUSP2",1.30120481927711,14.0177123974514,3.5097787402763,3.99390201911926,"DUSP2",69,"No",1967
"NR4A1",0.0919735279144748,0.438586277642626,0.110616950811131,3.96491020975143,"NR4A1",70,"No",233
"TMEM176B",0.060750042423214,0.278386199051679,0.0706542287147884,3.94012084082676,"TMEM176B",71,"No",127
"LILRB2",0.0868827422365518,0.408947052948894,0.104168351715062,3.92582820228846,"LILRB2",72,"No",173
"GNLY",4.19904972000679,102.237867392809,26.1352735005475,3.911872871377,"GNLY",73,"Yes",2109
"IFNG",0.0858645851009673,0.502130434477072,0.102861843114031,3.82855716874694,"IFNG",74,"No",292
"KCTD12",0.105888342100798,0.490482972594889,0.128379230212171,3.82057885675336,"KCTD12",75,"No",221
