"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"1",2.41118426627206e-230,1.76450372405912,0.612,0.167,2.17705827401704e-226,"0","ZEB2",398.181668668659
"2",4.38771576226469e-196,2.03564448298378,0.517,0.135,3.96166856174878e-192,"0","GZMB",389.626673397548
"3",6.67783484035292e-200,1.89038144084006,0.665,0.263,6.02941707735465e-196,"0","GNLY",369.03974440835
"4",1.14615500315222e-154,2.41274837158541,0.353,0.075,1.03486335234614e-150,"0","CX3CR1",361.876346785624
"5",6.71560679369875e-202,1.70699239324383,0.611,0.195,6.0635213740306e-198,"0","PLEK",336.648388390118
"6",7.16494227461588e-266,1.26566712347447,0.978,0.448,6.46922637975068e-262,"0","NKG7",330.578517190424
"7",2.75933473798017e-248,1.2662023866413,0.91,0.362,2.4914033349223e-244,"0","CST7",308.451403949028
"8",4.62686618655429e-218,1.41713820107327,0.761,0.324,4.17759747983987e-214,"0","CD81",302.387636235402
"9",1.24730267891968e-204,1.46040775500982,0.611,0.171,1.12618958879658e-200,"0","CCL4",292.00617715524
"10",9.77623982566209e-156,1.83161797599899,0.503,0.156,8.8269669385903e-152,"0","FGFBP2",276.673567006649
"11",4.49586041060312e-234,1.18487767914824,0.956,0.43,4.05931236473355e-230,"0","GZMA",271.800924451635
"12",1.68956002921003e-137,2.03903370714164,0.322,0.067,1.52550375037374e-133,"0","ADGRG1",270.817497190252
"13",5.51663099315254e-146,1.84456932568715,0.363,0.081,4.98096612371743e-142,"0","C1orf21",260.642600992689
"14",2.57267333092488e-189,1.35411241583022,0.635,0.219,2.32286675049207e-185,"0","SAMD3",250.015158882799
"15",5.0126122750725e-154,1.64531034075896,0.47,0.139,4.52588762316296e-150,"0","MYBL1",245.717714926656
"16",1.62020010720868e-201,1.2463771712054,0.722,0.244,1.46287867679872e-197,"0","GZMH",245.330390861889
"17",4.15731124247227e-174,1.38789751218851,0.642,0.231,3.75363632082821e-170,"0","CD8A",235.145296302839
"18",3.64655718781765e-225,1.00080113491483,0.994,0.557,3.29247648488055e-221,"0","CCL5",220.659113528806
"19",2.1201511716393e-159,1.41636402956476,0.634,0.241,1.91428449287312e-155,"0","PRF1",219.137000746394
"20",5.38061374694742e-115,1.89783835478305,0.304,0.073,4.85815615211883e-111,"0","SLAMF7",209.357245495878
"21",9.06511002786623e-111,1.91973085258892,0.302,0.076,8.18488784416042e-107,"0","TGFBR3",203.658462515166
"22",1.26766312970764e-168,1.21054064026209,0.668,0.278,1.14457303981303e-164,"0","SYNE1",198.457674648451
"23",5.85882854741695e-154,1.31774725108041,0.631,0.241,5.28993629546277e-150,"0","KLRD1",196.708762830775
"24",5.96854630787385e-183,1.08517559298861,0.851,0.413,5.3890004613793e-179,"0","GZMM",193.452616277702
"25",9.77241572233668e-140,1.2601567287402,0.639,0.284,8.82351415569779e-136,"0","EFHD2",170.189658500119
"26",1.44399794565493e-42,0.661819764116562,0.17,0.465,1.30378574513184e-38,"1","DDX46",25.0729052775277
"27",1.42340489723689e-39,0.684476290743861,0.16,0.434,1.28519228171518e-35,"1","FMNL1",23.8820840891755
"28",3.82204966065258e-43,0.61079962062411,0.157,0.44,3.45092863860322e-39,"1","EIF5B",23.4926141126586
"29",2.88762251688035e-39,0.677496697340414,0.155,0.421,2.60723437049127e-35,"1","FAM133B",23.4304237821709
"30",3.07140462727727e-30,0.888943281940675,0.148,0.374,2.77317123796865e-26,"1","TMC6",22.718744180269
"31",1.53888155455913e-32,0.814168085154895,0.131,0.35,1.38945615561143e-28,"1","CREBRF",22.68040666867
"32",7.99405057691247e-39,0.658685683771193,0.107,0.328,7.21782826589427e-35,"1","SMC3",22.4885788301696
